,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total_x,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Accesso proyectado/100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_y
869,2023,1,Santiago Del Estero,178.0,1186.0,21551.0,57189.0,21277.0,734.0,15447.0,118555.0,36.27,11.8,47.55,48.5,11642.0,80407.0,16656.0,6916.0,2934.0,118555.0
870,2014,2,Santiago Del Estero,1231.0,9914.0,23842.0,2867.0,142.0,0.0,0.0,37996.0,3.07,4.14,16.7,17.03,32820.0,4231.0,19.0,907.0,34.0,38011.0
871,2015,2,Santiago Del Estero,703.0,8779.0,23456.0,5553.0,888.0,0.0,0.0,39379.0,3.73,4.25,17.11,17.45,33873.0,4365.0,19.0,1091.0,30.0,39378.0
872,2016,2,Santiago Del Estero,704.0,6705.0,22208.0,5943.0,2108.0,1.0,0.0,37669.0,4.31,3.94,15.89,16.21,32101.0,3900.0,19.0,911.0,30.0,36961.0
873,2017,2,Santiago Del Estero,26.0,3539.0,20384.0,6432.0,2802.0,16.0,0.0,33199.0,5.06,3.5,14.12,14.4,28337.0,3900.0,19.0,911.0,29.0,33196.0
874,2018,2,Santiago Del Estero,41.0,2717.0,41362.0,18721.0,3278.0,31.0,31.0,83770.0,5.91,8.75,35.26,35.96,26074.0,55935.0,23.0,1662.0,81.0,83775.0
875,2019,2,Santiago Del Estero,39.0,1832.0,63268.0,21362.0,3741.0,108.0,1205.0,126056.0,7.1,13.1,52.79,53.85,24393.0,64783.0,219.0,2759.0,34600.0,126754.0
876,2020,2,Santiago Del Estero,133.0,1779.0,32557.0,57709.0,5178.0,247.0,3328.0,105447.0,10.41,10.79,43.47,44.34,25917.0,72074.0,355.0,3038.0,4063.0,105447.0
877,2021,2,Santiago Del Estero,123.0,909.0,32034.0,62224.0,10359.0,811.0,6064.0,114090.0,12.72,11.55,46.56,47.49,0.0,0.0,0.0,0.0,0.0,0.0
878,2022,2,Santiago Del Estero,178.0,1401.0,29581.0,59931.0,14606.0,883.0,10672.0,118044.0,16.34,11.84,47.7,48.65,0.0,0.0,0.0,0.0,0.0,0.0
879,2023,2,Santiago Del Estero,178.0,1152.0,16847.0,55281.0,26520.0,766.0,16066.0,117809.0,37.62,11.7,47.14,48.08,10629.0,80086.0,17244.0,6916.0,2934.0,117809.0
880,2014,3,Santiago Del Estero,791.0,9914.0,23826.0,2867.0,142.0,0.0,0.0,37540.0,3.1,4.08,16.49,16.82,32820.0,3900.0,19.0,768.0,41.0,37548.0
881,2015,3,Santiago Del Estero,703.0,8332.0,23158.0,5956.0,1249.0,0.0,0.0,39398.0,3.91,4.24,17.12,17.46,33886.0,4365.0,19.0,1097.0,30.0,39397.0
882,2016,3,Santiago Del Estero,26.0,5097.0,22747.0,6216.0,2497.0,9.0,0.0,36592.0,4.67,3.79,15.33,15.64,31730.0,3900.0,19.0,3.0,8.0,35660.0
883,2017,3,Santiago Del Estero,69.0,3288.0,40435.0,18489.0,3047.0,30.0,2.0,65360.0,5.18,8.72,35.12,35.82,27733.0,54096.0,19.0,911.0,35.0,82794.0
884,2018,3,Santiago Del Estero,41.0,2550.0,60260.0,19116.0,3806.0,64.0,265.0,86102.0,5.78,9.0,36.25,36.97,25805.0,58789.0,23.0,1662.0,81.0,86360.0
885,2019,3,Santiago Del Estero,39.0,1832.0,35554.0,55172.0,3612.0,86.0,1836.0,132632.0,9.39,13.73,55.3,56.41,24556.0,71198.0,219.0,2759.0,34400.0,133132.0
886,2020,3,Santiago Del Estero,133.0,909.0,33287.0,57418.0,4658.0,292.0,3994.0,105492.0,10.88,10.76,43.38,44.24,26419.0,70720.0,555.0,4185.0,3613.0,105492.0
887,2021,3,Santiago Del Estero,123.0,909.0,32752.0,61838.0,11274.0,801.0,6863.0,115458.0,13.35,11.66,47.0,47.94,0.0,0.0,0.0,0.0,0.0,0.0
888,2022,3,Santiago Del Estero,178.0,1384.0,28357.0,58982.0,16087.0,910.0,12342.0,119032.0,17.69,11.91,47.98,48.94,15385.0,80937.0,13170.0,6618.0,2922.0,119032.0
889,2023,3,Santiago Del Estero,180.0,1199.0,15100.0,54503.0,28456.0,806.0,20734.0,121928.0,41.46,12.08,48.67,49.64,9412.0,80919.0,21745.0,6916.0,2936.0,121928.0
890,2014,4,Santiago Del Estero,1246.0,8913.0,24181.0,4359.0,602.0,0.0,0.0,39301.0,3.46,4.26,17.27,17.61,34110.0,4231.0,19.0,920.0,37.0,39317.0
891,2015,4,Santiago Del Estero,703.0,7836.0,23074.0,5669.0,1856.0,0.0,0.0,39138.0,4.09,4.2,17.0,17.35,33582.0,4365.0,19.0,1139.0,30.0,39135.0
892,2016,4,Santiago Del Estero,26.0,3925.0,22246.0,6178.0,2664.0,15.0,0.0,35054.0,4.87,3.72,15.07,15.37,30192.0,3900.0,19.0,911.0,29.0,35051.0
893,2017,4,Santiago Del Estero,41.0,3091.0,43544.0,18773.0,3359.0,32.0,2.0,68842.0,6.17,7.23,29.13,29.71,27313.0,40407.0,19.0,1025.0,80.0,68844.0
894,2018,4,Santiago Del Estero,39.0,3250.0,61347.0,20127.0,3686.0,77.0,483.0,89335.0,6.31,9.28,37.4,38.15,25339.0,61243.0,23.0,2649.0,81.0,89335.0
895,2019,4,Santiago Del Estero,133.0,908.0,34911.0,56309.0,3756.0,105.0,2449.0,103588.0,9.79,10.65,42.92,43.78,24682.0,71239.0,200.0,2810.0,4657.0,103588.0
